seal_id,tamil_reading_full,line_count,source_doc
1147,வய இல்ைம் வ்யமூன்= வயல் வட்ீடுப் பொல்,1,INDUS_SEALS_READ_in_book_5.pdf
1150,ணொய் அரச ஆ= அரச ஆ ெய்,1,INDUS_SEALS_READ_in_book_5.pdf
1156,(இ)ை ழன் பன்னிரு ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1158,மீமீஇள(ம்) சொ ண,1,INDUS_SEALS_READ_in_book_5.pdf
1159,இை இை அய் ெ ய் =இவ்விைம் சிறந் தெய்,1,INDUS_SEALS_READ_in_book_5.pdf
1168,ஓ வ்யமூன் = சிறந் பொல்,1,INDUS_SEALS_READ_in_book_5.pdf
1170,ை ழ வ்யமூன்,1,INDUS_SEALS_READ_in_book_5.pdf
1171,சிறந் ஆ ொவ்வ(ன்),1,INDUS_SEALS_READ_in_book_5.pdf
1182,ண் அய் க ொயில் எறும்ப = ண் அய்யன்,1,INDUS_SEALS_READ_in_book_5.pdf
1199,இளம ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1220,எருது,1,INDUS_SEALS_READ_in_book_5.pdf
1228,மீமீக ொழி (ஊர்) ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
1229,மீமீெய்,1,INDUS_SEALS_READ_in_book_5.pdf
1232,மீமீளொர் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1235,ை இல் ைொ ைன்,1,INDUS_SEALS_READ_in_book_5.pdf
1237,மயில் ய்யொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1274,மீமீக ொயில் ண் அல்,1,INDUS_SEALS_READ_in_book_5.pdf
1275,[வய(து)] மூ ை ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1287,ஓர் ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
1314,சண்ணொ ஆறுளன்,1,INDUS_SEALS_READ_in_book_5.pdf
1326,மீமீை இள(ம்) பொல்,1,INDUS_SEALS_READ_in_book_5.pdf
1335,வ ை சங் ஆ (சிறந் தவள்லள ஆ),1,INDUS_SEALS_READ_in_book_5.pdf
1339,மூ வ ல ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1341,வ ண்ணொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1344,"வ "" ஏழு (இள)ஞொன் ஆ",1,INDUS_SEALS_READ_in_book_5.pdf
1350,இள ை சொ ண ண் (ண ர ம ர மயக் ம்),1,INDUS_SEALS_READ_in_book_5.pdf
1414,இள வய(து) மூ-பன்னிரு (36) ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1345,வ ை இள ை வ்யமூன்,1,INDUS_SEALS_READ_in_book_5.pdf
1348,வ ை ெ ள ன்,1,INDUS_SEALS_READ_in_book_5.pdf
1373,வ ை ெளன் இரு ைொ ரின் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1374,இள ண்ண ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1386,மீமீ வ ஆக்( ள்) த ொழு (Zebu cattle shed),1,INDUS_SEALS_READ_in_book_5.pdf
1387,மீமீ வ ை ள ன் த ொழு,1,INDUS_SEALS_READ_in_book_5.pdf
1407,வ ண்(ண) ய் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1427,ய் ெ ர் = ெய்க் ர்= தெய்க் ொரர்,1,INDUS_SEALS_READ_in_book_5.pdf
1447,ம ைொ ை சொ ண =குவிக் ப்பட்ை சொணம்,1,INDUS_SEALS_READ_in_book_5.pdf
1456,மீமீை வய(து) மூ(த் ) ச ண= சிறந் மூத் சொணம்,1,INDUS_SEALS_READ_in_book_5.pdf
1466,மீமீக ொயில் ஏழு ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1533,சொ ண(ம்),1,INDUS_SEALS_READ_in_book_5.pdf
1534,மூப மூப்ப ைொ ள ன் த ொழுவம்,1,INDUS_SEALS_READ_in_book_5.pdf
1551,மீமீஇரு ள ன்,1,INDUS_SEALS_READ_in_book_5.pdf
1561,க ொயில் மலை ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1628,பக் ம் 1- ள வ்வ இரு ஆ | பக் ம் 2- ள ம ச ண,2,INDUS_SEALS_READ_in_book_5.pdf
1707,க ொயில் இை ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1708,க ொயில் இை ண்ண ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1771,வன ை ளொர் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1801,வண்ண ை ளொர் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2014,ஆ த ொழு,1,INDUS_SEALS_READ_in_book_5.pdf
2015,வ்யமூன் = பொல்,1,INDUS_SEALS_READ_in_book_5.pdf
2142,இள(ம்) சொ ண(ம்) | இள சொ ண(ம்),2,INDUS_SEALS_READ_in_book_5.pdf
2056,வ வ ண ை ன ய்யொ,1,INDUS_SEALS_READ_in_book_5.pdf
2057,மீமீஓர் ண் ஆ (ஆ தெடில் குறி),1,INDUS_SEALS_READ_in_book_5.pdf
2059,மீமீசொ ண,1,INDUS_SEALS_READ_in_book_5.pdf
2060,மீமீசொ ண,1,INDUS_SEALS_READ_in_book_5.pdf
2061,ஆமு ண் ண(ல்),1,INDUS_SEALS_READ_in_book_5.pdf
2068,மீ மி ழ ட்ைள் ஆ க்=,1,INDUS_SEALS_READ_in_book_5.pdf
2069,வ வ வவண் வ ஓணொள் ஆ ப,1,INDUS_SEALS_READ_in_book_5.pdf
2081,மீமீவய ைொ ள ன்,1,INDUS_SEALS_READ_in_book_5.pdf
2082,சிவ மூ ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
2086,ம யன் அய் வன ம ஆ த ொழு,1,INDUS_SEALS_READ_in_book_5.pdf
2096,ண்ன அவ் வர ண்ண வ்வ ய்யொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2097,க ொயில் இை மூ ை ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2104,வய ைொ ளர் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2113,அய் ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
2123,வ்ய ை ைொ வ்யமுன்,1,INDUS_SEALS_READ_in_book_5.pdf
2127,எண் ய் = எண்ணய் (எள் தெய்),1,INDUS_SEALS_READ_in_book_5.pdf
2163,(மீ) (இள) சொ ண பன்னிரு ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2167,மூய த ொழு,1,INDUS_SEALS_READ_in_book_5.pdf
2169,அ ம ஆர் ை ன ன் த ொழு,1,INDUS_SEALS_READ_in_book_5.pdf
2183,ம ணொ ள ன்,1,INDUS_SEALS_READ_in_book_5.pdf
2186,இள ைொ பன்னிரு ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
2200,(இ)ன் ன் ஆ (சுகமரியர் த ய்வம்),1,INDUS_SEALS_READ_in_book_5.pdf
2201,ண ய்ய ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2234,வ்ய்ய இளம்(இல்ைம்?),1,INDUS_SEALS_READ_in_book_5.pdf
2251,மீமீவ்யமூன்,1,INDUS_SEALS_READ_in_book_5.pdf
2290,மீமீக ொயில் மைய் ை ன ய்யொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2315,ை னி ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2322,ஆ ொவ்வ ெ(ெொன்கு) ய் = ஆ ொவ்வன் தெய்,1,INDUS_SEALS_READ_in_book_5.pdf
2343,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
2368,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
2375,(இ)ள ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
2380,"ணொ ய் ஆ = ெொல ஆ,அண்ணல் ல ஆ",1,INDUS_SEALS_READ_in_book_5.pdf
2382,ஆ ொவ்வ அய்,1,INDUS_SEALS_READ_in_book_5.pdf
2394,ஆ ொவ்வ ஓர்,1,INDUS_SEALS_READ_in_book_5.pdf
2420,ஆள் அவ் ஈச ர் = சிவொ,1,INDUS_SEALS_READ_in_book_5.pdf
2442,ை அய்யி மு ர்,1,INDUS_SEALS_READ_in_book_5.pdf
2444,ண ய் ஆ ண = அண்ணல் ல ஆணய்,1,INDUS_SEALS_READ_in_book_5.pdf
2459,வய(ளொர்) ய்யொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2472,அரச ஆ ொவ்வன்,1,INDUS_SEALS_READ_in_book_5.pdf
2478,மீமீஏழு ஞொன் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2482,வ ளொர் ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
2497,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
2503,மீமீக ொழி (ஊர்) ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
2507,வ இள ை வ்யமூன்,1,INDUS_SEALS_READ_in_book_5.pdf
2514,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
2520,இள எழுட்ை ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2545,மீமீஇள ச ண,1,INDUS_SEALS_READ_in_book_5.pdf
2534,ை வய ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2596,ண்ன அவ் வர ண்ண வ்வ ய்யொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2608,இள அரசன ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2614,ொல் ள ண்ன அய்வன ைொ இருளன ன்,1,INDUS_SEALS_READ_in_book_5.pdf
2617,வ்வை ை வ்ய மூ ர் மூரொ =இவ்விைம் முைகமொர்,1,INDUS_SEALS_READ_in_book_5.pdf
2630,மீமீ வ ண்(ண),1,INDUS_SEALS_READ_in_book_5.pdf
2636,மீமீெ ய்,1,INDUS_SEALS_READ_in_book_5.pdf
2639,ஓர் ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
2648,மீமீெ ய் த ொழு,1,INDUS_SEALS_READ_in_book_5.pdf
2651,சிவன் (பண்பட்ை வத் ன்),1,INDUS_SEALS_READ_in_book_5.pdf
2653,மீமீளொர் ர ய்ய ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2663,மீமீளொர் ர ய்ய ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2689,வரி 1- வ வ வயச ஆ | வரி 2- ச ச ஆர் = ச சயொர்= யொர்,2,INDUS_SEALS_READ_in_book_5.pdf
2698,ஆ ொவ்வ ெொன்கு,1,INDUS_SEALS_READ_in_book_5.pdf
2699,வனி ஆ மூரொ,1,INDUS_SEALS_READ_in_book_5.pdf
2700,இரு ை இனொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2847,வயமளொர் ஆ ொவ்வ மூ அய,1,INDUS_SEALS_READ_in_book_5.pdf
2848,ைொ ய் ஆண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
2856,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
2862,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
2908,ஏழு (இள)ஞொன் அரசன ஆ | ஏழு ஞொன் அரசன ஆ,2,INDUS_SEALS_READ_in_book_5.pdf
2913,இரு ள யண்ண ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
2950,"ெ(ஆன்கு)ய் = ெய் = தெய் (மு,மூ; ெ,ெொ)",1,INDUS_SEALS_READ_in_book_5.pdf
3016,டி டீ ( ிடீர்)அய் ைொ இள வ்யமூன்,1,INDUS_SEALS_READ_in_book_5.pdf
3075,ஓர் ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
3095,அரச ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
3118,ஈசொ இரு ணொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
3159,ெொ ய் ண் = ண்ணெய் = தவண்ணய்,1,INDUS_SEALS_READ_in_book_5.pdf
3246,வய மூ ள ஆ ொவ்வ = மூத் ஆ ொப்கபொன்,1,INDUS_SEALS_READ_in_book_5.pdf
3249,ம ணொ ள ஆ ணய்,1,INDUS_SEALS_READ_in_book_5.pdf
3328,வய மூ ட்ை ஆ ஓர் (பசு - ஒருலம),1,INDUS_SEALS_READ_in_book_5.pdf
3351,மூ ள ய் ஆ (மூ இள ய்மொடு ள்),1,INDUS_SEALS_READ_in_book_5.pdf
4718,வரி 1- அய் ய அய் ஓ வ்யமூன் | வரி 2- அம்மூ = குழந்ல ள் உணவு | வரி 1- அய் ய அய் ஓ வ்யமூன் = ஐயய்கயொ | பொல். வரி 2- அ ம்மூ=குழந்ல உணவு,4,INDUS_SEALS_READ_in_book_5.pdf
4022,மீமீவன இள ை சொண னி,1,INDUS_SEALS_READ_in_book_5.pdf
4029,வய ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
4033,மூ வ ல ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
4055,"இரு வ்வன் "" வ்யமூன்",1,INDUS_SEALS_READ_in_book_5.pdf
4056,ை ம ைொ ை ன் = வைிய அலமப்பொளன்,1,INDUS_SEALS_READ_in_book_5.pdf
4084,மூை ஆவ் ஆய் ைொ ய் பசு,1,INDUS_SEALS_READ_in_book_5.pdf
4166,ஒர் ஆ ொவ்வ,1,INDUS_SEALS_READ_in_book_5.pdf
4262,ை ண ை ன ய்யொ,1,INDUS_SEALS_READ_in_book_5.pdf
4320,வர ளொர் ய் ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
4347,வரி 1- அரச ஆ ண(ய்) | வரி 2- இரு அ ?,2,INDUS_SEALS_READ_in_book_5.pdf
4354,ம ைொ ை பண்ணொ ை = பண்ணயர் குழுமம்,1,INDUS_SEALS_READ_in_book_5.pdf
4371,ம ைொ ை பண்ணொை ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
4430,பண்ணய் ய்யொ ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
4582,வரி 1 - ைொ பண்ணொ ஆ ண (ய்) | அ ெொ (மூ?) [scribe error?],2,INDUS_SEALS_READ_in_book_5.pdf
4590,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
4626,(இ)ள ஞொன் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
5119,வ வ மூை ஆ த ொழு,1,INDUS_SEALS_READ_in_book_5.pdf
5274,வரி 1 - இை இைம ஆண(ய்) | வரி 2 - அ ம்மூ,2,INDUS_SEALS_READ_in_book_5.pdf
5305,ர ஆ ண வ்வ அய்,1,INDUS_SEALS_READ_in_book_5.pdf
5443,ளொர் ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
5461,வரி 1 - ண்ண ள ய்யொ ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
6213,ஓ ை ண்ணொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
7002,ஆ ொவ்வ மூ,1,INDUS_SEALS_READ_in_book_5.pdf
7040,ஆ ொவ்வ அய்,1,INDUS_SEALS_READ_in_book_5.pdf
7078,ண ெ ய் = ணண்ெய்= தவண்ணய்,1,INDUS_SEALS_READ_in_book_5.pdf
8031,ய் ெ = தெய்,1,INDUS_SEALS_READ_in_book_5.pdf
8041,மூ ள ஆ ொவ்வ (ள ர- ர மயக் ம்),1,INDUS_SEALS_READ_in_book_5.pdf
8117,க ொழி (ஊர்) ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
9091,"வ ம ய "" ெ ய் = சிறந் மணமுலைய தெய்",1,INDUS_SEALS_READ_in_book_5.pdf
9811,"ம ம வயய் "" ெய் = ம மவொய தெய்",1,INDUS_SEALS_READ_in_book_5.pdf
