seal_id,hypothesis,tamil_script,phoneme_roman,morpheme_english,semantic_domain,translation_status,confidence,source
1456,VPS2024,மீ மீ ை வய(து) மூ(த் ) ச ண= சிறந் மூத் சொணம்,mii mii ai vaya(thu) muu(th ) cha Na= chiRan muuth choNam,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1466,VPS2024,மீ மீ க ொயில் ஏழு ஆ,mii mii ka oyil eezhu aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1533,VPS2024,சொ ண(ம்),cho Na(m),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1534,VPS2024,மூப மூப்ப ைொ ள ன் த ொழுவம்,muupa muuppa aio La n tha ozhuvam,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1551,VPS2024,மீ மீ இரு ள ன்,mii mii iru La n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1561,VPS2024,க ொயில் மலை ஆ,ka oyil malai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1628,VPS2024,பக் ம் 1- ள வ்வ இரு ஆ,pak m 1- La vva iru aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1628,VPS2024,பக் ம் 2- ள ம ச ண,pak m 2- La ma cha Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1707,VPS2024,க ொயில் இை ஆ,ka oyil iai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1708,VPS2024,க ொயில் இை ண்ண ஆ,ka oyil iai NNa aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1771,VPS2024,வன ை ளொர் ஆ,vana ai Lor aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1801,VPS2024,வண்ண ை ளொர் ஆ,vaNNa ai Lor aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2014,VPS2024,ஆ த ொழு,aa tha ozhu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2015,VPS2024,வ்யமூன் = பொல்,vyamuun = pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2056,VPS2024,வ வ ண ை ன ய்யொ,va va Na ai na yyo,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2057,VPS2024,மீ மீ ஓர் ண் ஆ (ஆ தெடில் குறி),mii mii oor N aa (aa thetil kuRi),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2059,VPS2024,மீ மீ சொ ண,mii mii cho Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2060,VPS2024,மீ மீ சொ ண,mii mii cho Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2061,VPS2024,ஆமு ண் ண(ல்),aamu N Na(l),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2068,VPS2024,மீ மி ழ ட்ைள் ஆ க்=,mii mi zha taiL aa k=,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2069,VPS2024,வ வ வவண் வ ஓணொள் ஆ ப,va va vavaN va ooNoL aa pa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2081,VPS2024,மீ மீ வய ைொ ள ன்,mii mii vaya aio La n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2082,VPS2024,சிவ மூ ஆ ொவ்வ,chiva muu aa ovva,Carer of Isa's 3 cows,animal husbandry,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2086,VPS2024,ம யன் அய் வன ம ஆ த ொழு,ma yan ay vana ma aa tha ozhu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2096,VPS2024,ண்ன அவ் வர ண்ண வ்வ ய்யொ ஆ,Nna av vara NNa vva yyo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2097,VPS2024,க ொயில் இை மூ ை ஆ,ka oyil iai muu ai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2104,VPS2024,வய ைொ ளர் ஆ,vaya aio Lar aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2113,VPS2024,அய் ஆ ொவ்வ,ay aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2123,VPS2024,வ்ய ை ைொ வ்யமுன்,vya ai aio vyamun,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2127,VPS2024,எண் ய் = எண்ணய் (எள் தெய்),eN y = eNNay (eL they),Sesame Oil (ENNai),food commodities,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2142,VPS2024,இள(ம்) சொ ண(ம்),iLa(m) cho Na(m),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2142,VPS2024,இள சொ ண(ம்),iLa cho Na(m),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2163,VPS2024,(மீ) (இள) சொ ண பன்னிரு ஆ,(mii) (iLa) cho Na panniru aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2167,VPS2024,மூய த ொழு,muuya tha ozhu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2169,VPS2024,அ ம ஆர் ை ன ன் த ொழு,a ma aar ai na n tha ozhu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2183,VPS2024,ம ணொ ள ன்,ma No La n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2186,VPS2024,இள ைொ பன்னிரு ொவ்வ,iLa aio panniru ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2200,VPS2024,(இ)ன் ன் ஆ (சுகமரியர் த ய்வம்),(i)n n aa (chukamariyar tha yvam),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2201,VPS2024,ண ய்ய ஆ,Na yya aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2234,VPS2024,வ்ய்ய இளம்(இல்ைம்?),vyya iLam(ilaim?),The world is a Big Home,governance / ethics,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2251,VPS2024,மீ மீ வ்யமூன்,mii mii vyamuun,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2290,VPS2024,மீ மீ க ொயில் மைய் ை ன ய்யொ ஆ,mii mii ka oyil maiy ai na yyo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2315,VPS2024,ை னி ஆ,ai ni aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2322,VPS2024,ஆ ொவ்வ ெ(ெொன்கு) ய் = ஆ ொவ்வன் தெய்,aa ovva e(eonku) y = aa ovvan they,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2343,VPS2024,ஆ ொவ்வ மூ,aa ovva muu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2368,VPS2024,ஆ ொவ்வ மூ,aa ovva muu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2375,VPS2024,(இ)ள ஆ ொவ்வ,(i)La aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2380,VPS2024,"ணொ ய் ஆ = ெொல ஆ,அண்ணல் ல ஆ","No y aa = eola aa,aNNal la aa",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2382,VPS2024,ஆ ொவ்வ அய்,aa ovva ay,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2394,VPS2024,ஆ ொவ்வ ஓர்,aa ovva oor,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2420,VPS2024,ஆள் அவ் ஈச ர் = சிவொ,aaL av iicha r = chivo,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2442,VPS2024,ை அய்யி மு ர்,ai ayyi mu r,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2444,VPS2024,ண ய் ஆ ண = அண்ணல் ல ஆணய்,Na y aa Na = aNNal la aaNay,Order of the Leader (Market Common jurisdiction),governance / law,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2459,VPS2024,வய(ளொர்) ய்யொ ஆ,vaya(Lor) yyo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2472,VPS2024,அரச ஆ ொவ்வன்,aracha aa ovvan,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2478,VPS2024,மீ மீ ஏழு ஞொன் ஆ,mii mii eezhu nyon aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2482,VPS2024,வ ளொர் ஆ ண(ய்),va Lor aa Na(y),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2497,VPS2024,ஆ ொவ்வ மூ,aa ovva muu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2503,VPS2024,மீ மீ க ொழி (ஊர்) ொவ்வ,mii mii ka ozhi (uur) ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2507,VPS2024,வ இள ை வ்யமூன்,va iLa ai vyamuun,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2514,VPS2024,ஆ ொவ்வ மூ,aa ovva muu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2520,VPS2024,இள எழுட்ை ஆ,iLa ezhutai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2534,VPS2024,ை வய ஆ,ai vaya aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2545,VPS2024,மீ மீ இள ச ண,mii mii iLa cha Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2596,VPS2024,ண்ன அவ் வர ண்ண வ்வ ய்யொ ஆ,Nna av vara NNa vva yyo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2608,VPS2024,இள அரசன ஆ,iLa arachana aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2614,VPS2024,ொல் ள ண்ன அய்வன ைொ இருளன ன்,ol La Nna ayvana aio iruLana n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2617,VPS2024,வ்வை ை வ்ய மூ ர் மூரொ =இவ்விைம் முைகமொர்,vvai ai vya muu r muuro =ivviaim muaikamor,Buttermilk available HERE,dairy products,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2630,VPS2024,மீ மீ வ ண்(ண),mii mii va N(Na),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2636,VPS2024,மீ மீ ெ ய்,mii mii e y,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2639,VPS2024,ஓர் ஆ ொவ்வ,oor aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2648,VPS2024,மீ மீ ெ ய் த ொழு,mii mii e y tha ozhu,Very Good Ghee Shed,dairy products,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2651,VPS2024,சிவன் (பண்பட்ை வத் ன்),chivan (paNpatai vath n),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2653,VPS2024,மீ மீ ளொர் ர ய்ய ஆ,mii mii Lor ra yya aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2663,VPS2024,மீ மீ ளொர் ர ய்ய ஆ,mii mii Lor ra yya aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2689,VPS2024,வரி 1- வ வ வயச ஆ,vari 1- va va vayacha aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2689,VPS2024,வரி 2- ச ச ஆர் = ச சயொர்= யொர்,vari 2- cha cha aar = cha chayor= yor,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2698,VPS2024,ஆ ொவ்வ ெொன்கு,aa ovva eonku,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2699,VPS2024,வனி ஆ மூரொ,vani aa muuro,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2700,VPS2024,இரு ை இனொ ஆ,iru ai ino aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2847,VPS2024,வயமளொர் ஆ ொவ்வ மூ அய,vayamaLor aa ovva muu aya,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2848,VPS2024,ைொ ய் ஆண(ய்),aio y aaNa(y),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2856,VPS2024,ஆ ொவ்வ மூ,aa ovva muu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2862,VPS2024,ஆ ொவ்வ மூ,aa ovva muu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2908,VPS2024,ஏழு (இள)ஞொன் அரசன ஆ,eezhu (iLa)nyon arachana aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2908,VPS2024,ஏழு ஞொன் அரசன ஆ,eezhu nyon arachana aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2913,VPS2024,இரு ள யண்ண ஆ,iru La yaNNa aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2950,VPS2024,"ெ(ஆன்கு)ய் = ெய் = தெய் (மு,மூ; ெ,ெொ)","e(aanku)y = ey = they (mu,muu; e,eo)",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3016,VPS2024,டி டீ ( ிடீர்)அய் ைொ இள வ்யமூன்,ti tii ( itiir)ay aio iLa vyamuun,Just expressed Fresh Milk,dairy products,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3075,VPS2024,ஓர் ஆ ொவ்வ,oor aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3095,VPS2024,அரச ஆ ொவ்வ,aracha aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3118,VPS2024,ஈசொ இரு ணொ ஆ,iicho iru No aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3159,VPS2024,ெொ ய் ண் = ண்ணெய் = தவண்ணய்,eo y N = NNey = thavaNNay,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
